identifier           target               feat1               
sample1              -2.628547965575      -0.627299405763     
sample2              -0.394877519056      2.253571532050      
sample3              -4.820907304524      1.159969709057      
sample4              -5.798682342281      0.493292420985      
sample5              -1.734793080079      -1.719906797788     
sample6              -1.446487376839      -1.720027398319     
sample7              -1.794631229294      -2.209581939159     
sample8              -3.176164606219      1.830880728875      
sample9              -5.222979804263      0.505575058716      
sample10             -5.227405872830      1.040362888980      
sample11             -2.761934126200      -2.397077528521     
sample12             0.710672303045       2.349549260810      
sample13             -3.911521882568      1.662213204002      
sample14             -1.320121907740      -1.438304446609     
sample15             -1.517429083801      -1.590875163964     
sample16             -1.080140184270      -1.582977450733     
sample17             -2.383288513140      -0.978788785202     
sample18             -4.402786081764      0.123782158161      
sample19             -3.477310464282      -0.340274906789     
sample20             -2.667941395377      -1.043854299010     
sample21             -4.726617970342      0.559264473612      
sample22             -1.568169000295      -1.802530696740     
sample23             -1.940101094772      -1.039276757324     
sample24             -2.706839088787      -0.668190783532     
sample25             -4.249560770726      -0.219650078915     
sample26             -4.596013858935      1.425879806965      
sample27             -1.733658030073      -1.501631089208     
sample28             -4.540770017594      0.071172192068      
sample29             -4.848703997780      0.462072844310      
sample30             -2.522290123218      -2.267747936400     
sample31             -3.910041098577      0.537724259507      
sample32             -1.496400454929      -1.647379381564     
sample33             -2.299713676536      -2.174742035074     
sample34             -0.354248058855      2.244427686267      
sample35             -0.595843150461      2.328160165373      
sample36             -4.075160112066      1.541986740582      
sample37             -2.005014197187      -0.976931154133     
sample38             -0.791997282952      -2.011639429968     
sample39             -5.123413020302      0.921165132561      
sample40             -3.219377044275      -0.299237531302     
sample41             -1.826659797751      -1.889808825776     
sample42             -4.535824354700      -0.024115449444     
sample43             -2.371410556384      -2.328057394424     
sample44             -1.336769701592      2.046602010394      
sample45             -1.342188418753      -1.206100092000     
sample46             -5.481449084181      0.812611421770      
sample47             -1.389764262412      -0.941444619553     
sample48             -4.896066555791      0.100340105889      
sample49             -4.140031442069      0.233551396716      
sample50             -0.468059063114      -1.575727722372     
sample51             0.037005594010       2.347923138823      
sample52             -4.786562226212      1.375664116806      
sample53             -0.624839954316      2.197494707821      
sample54             -2.404584787725      1.974136752138      
sample55             -5.575881859894      0.489499894055      
sample56             -1.266970121143      2.109371175116      
sample57             -2.654598483892      -2.057537489740     
sample58             -1.323903136330      -1.520085687904     
sample59             -3.205212399601      -2.273863555447     
sample60             -1.430035132748      -0.873348346184     
sample61             -3.209714848557      -0.556613551553     
sample62             -1.968140380223      -1.143254841131     
sample63             -3.309379598043      1.643687545760      
sample64             -3.110180669112      -0.716233366532     
sample65             -1.752799314047      -1.095327451563     
sample66             -3.745737944206      0.213480415791      
sample67             -2.494890156122      -1.795378875126     
sample68             -4.063268972326      1.510984903770      
sample69             -2.166061698268      -2.127246781601     
sample70             1.699082949963       2.434434683003      
sample71             -5.153331372176      1.361223846483      
sample72             -2.221997904388      -1.506421592329     
sample73             -3.294394707340      -2.472389414382     
sample74             -3.800083536187      1.577307142274      
sample75             -4.855238903600      1.034286719238      
sample76             -4.710661742171      1.145035840205      
sample77             -4.885237438219      1.356351733430      
sample78             -2.186624490661      -2.129776741330     
sample79             -2.364922139374      -0.707671357279     
sample80             -2.213974538247      -1.920654702374     
sample81             -2.058030553236      1.815517129378      
sample82             -4.688882525243      0.616490634138      
sample83             -2.849410510260      -0.845509875737     
sample84             -2.122163950322      -2.182208248570     
sample85             -2.572640745670      -0.945088391422     
sample86             -1.810189402569      -0.874083389866     
sample87             -4.301238563673      1.148030891690      
sample88             -5.386710746089      0.687787356776      
sample89             -1.887752868189      1.936063712882      
sample90             -3.507449306247      -0.138925374190     
sample91             -1.416553183581      -1.902028770308     
sample92             -4.009575105018      1.066223936115      
sample93             -4.771953458246      1.303925243084      
sample94             -4.928323281148      0.306385987847      
sample95             -4.993183802650      1.354835899773      
sample96             -4.345394850582      -0.031022018178     
sample97             -4.258685135231      0.113664146910      
sample98             -3.062982376085      -0.362294908207     
sample99             -2.981035104351      -2.372904366280     
sample100            -1.511355554572      -1.960542865033     
